frame_index,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z,joint_12_x,joint_12_y,joint_12_z,joint_13_x,joint_13_y,joint_13_z,joint_14_x,joint_14_y,joint_14_z,joint_15_x,joint_15_y,joint_15_z,joint_16_x,joint_16_y,joint_16_z,joint_17_x,joint_17_y,joint_17_z,joint_18_x,joint_18_y,joint_18_z,joint_19_x,joint_19_y,joint_19_z,joint_20_x,joint_20_y,joint_20_z,joint_21_x,joint_21_y,joint_21_z,joint_22_x,joint_22_y,joint_22_z,joint_23_x,joint_23_y,joint_23_z
0,-72.171776,-118.87366,2147.5742,-67.85241,-35.16412,2164.061,-68.431725,-32.724537,2151.7297,-58.76847,-213.61113,2131.437,5.214404,284.6797,2249.0144,-62.37149,301.96085,2227.3423,-52.978756,-297.34464,2106.9485,24.572702,616.9863,2314.273,-100.2384,640.8806,2296.1843,-50.580803,-325.08005,2102.819,22.940233,725.0417,2323.114,-107.77498,747.3621,2297.5718,-25.87215,-456.32626,2076.3877,-37.70179,-396.26157,2094.0896,-28.485579,-389.70163,2079.461,-37.79809,-516.91614,2093.1086,-60.583595,-420.77158,2116.022,-31.158003,-406.18292,2068.0378,-103.801834,-291.83115,2184.6167,-68.36699,-258.5948,2090.8738,-109.15215,-161.37508,2200.7234,-48.569073,-122.10522,2108.5264,-93.43223,-120.90293,2211.315,-21.634798,-88.43016,2119.8875
1,-88.17933,-85.99108,2100.1787,-84.40654,-8.299166,2120.4617,-88.86992,-2.2976959,2102.136,-75.465004,-180.16093,2085.6777,-27.01853,306.196,2206.2617,-97.039665,321.29385,2174.408,-69.039474,-268.59567,2060.6057,-13.549257,643.47125,2272.0383,-132.55675,659.55756,2246.3208,-67.1812,-297.4898,2054.787,-10.873814,748.0323,2282.7283,-136.77077,766.58624,2246.903,-39.512115,-429.89233,2026.877,-50.43847,-371.77682,2050.216,-50.88038,-364.02374,2025.889,-49.86585,-486.84677,2035.3164,-67.53879,-398.74072,2076.5735,-59.783154,-380.3823,2008.3143,-104.88564,-269.37164,2149.9016,-93.88837,-228.06938,2026.4492,-118.57018,-138.9437,2166.7583,-84.0025,-91.95455,2040.6086,-106.89107,-99.26919,2176.1526,-61.88258,-59.621742,2049.7556
2,-85.83245,-76.81701,2039.1481,-83.014946,0.77530336,2058.282,-88.71464,7.035352,2040.5745,-72.43709,-170.73051,2025.725,-30.166304,311.85422,2141.929,-100.07168,326.82092,2110.7605,-64.31772,-261.05328,2000.5443,-18.843813,649.42255,2209.0676,-134.59639,664.1974,2182.8044,-62.484364,-289.76352,1994.7031,-14.052066,750.62427,2219.8435,-140.01631,765.8498,2182.7117,-36.06376,-422.5865,1968.5533,-46.060394,-364.1971,1990.0612,-47.980236,-356.72333,1967.3281,-45.49595,-478.288,1975.1055,-61.89764,-390.31168,2016.5829,-57.033478,-371.94562,1950.8197,-98.36089,-259.76764,2085.3074,-89.12613,-219.85075,1970.5453,-110.26214,-131.7052,2101.4338,-79.40228,-85.83589,1984.3522,-100.5016,-93.424355,2110.6062,-60.1085,-53.384407,1992.8744
3,-84.88932,-77.55794,2032.077,-82.502754,0.19938107,2051.8281,-88.954636,7.504843,2032.842,-70.51314,-172.46652,2018.5713,-32.868053,312.4526,2136.6208,-101.93948,327.78818,2102.4878,-62.657085,-262.86325,1993.7705,-23.298147,650.0439,2202.1755,-138.13782,664.1606,2174.2664,-60.86554,-291.5224,1988.0137,-18.431078,751.1213,2213.508,-143.67715,764.52545,2173.868,-35.553234,-424.13705,1962.3008,-45.04498,-366.29913,1984.9916,-48.032196,-357.91812,1959.9824,-43.92551,-478.8539,1968.3499,-59.054073,-393.0381,2012.7604,-56.82511,-372.16724,1941.869,-93.86977,-264.81805,2083.2913,-88.53819,-222.74149,1961.3793,-107.340164,-136.18477,2099.9382,-81.59782,-88.783226,1972.8036,-98.65232,-98.055725,2109.0203,-63.139137,-56.03146,1980.665
4,-82.14296,-78.73716,2027.8668,-79.93472,-1.6576035,2047.0963,-85.82982,5.1653085,2028.8997,-67.78855,-173.13995,2014.6957,-31.375614,306.91415,2131.2966,-98.00829,322.7061,2097.6257,-58.429054,-262.7219,1989.8182,-22.289974,643.5939,2196.4297,-134.87468,658.904,2168.526,-56.247498,-290.6898,1984.0764,-19.95097,743.89764,2208.4905,-142.9199,758.42523,2168.009,-30.526884,-420.9048,1959.4559,-40.02853,-364.01083,1980.6688,-42.638714,-355.69894,1957.4733,-40.214275,-473.8895,1965.3694,-53.04899,-390.03702,2007.7178,-50.91406,-369.30206,1940.955,-89.23218,-263.94614,2077.1099,-82.867546,-222.26305,1961.332,-101.47456,-134.75108,2093.3113,-76.28475,-87.37314,1973.232,-92.51696,-96.283104,2102.7046,-57.594604,-54.188183,1980.6771
5,-86.82026,-76.9981,2018.0442,-84.02352,-0.46156073,2037.6995,-90.803345,6.8842998,2020.151,-73.46767,-169.57387,2004.4803,-37.15044,308.28424,2120.4219,-104.87687,324.51242,2088.7275,-64.27263,-259.00555,1978.6166,-26.128986,646.5422,2187.3267,-137.63576,661.72766,2161.0151,-62.36082,-287.04376,1972.3809,-23.960054,745.80206,2199.077,-145.99059,761.685,2161.2544,-38.511303,-415.86496,1947.0494,-45.744682,-359.74594,1967.5217,-50.608303,-351.92075,1946.2242,-48.52403,-469.1573,1950.7777,-56.815594,-384.7384,1993.18,-59.035915,-365.65735,1931.2063,-90.13375,-259.00348,2060.3474,-89.82874,-218.88235,1951.418,-99.849174,-134.6339,2075.9314,-83.28849,-87.465385,1963.2883,-91.25305,-97.5624,2085.6755,-65.93453,-55.399548,1970.2499
6,-86.697685,-73.20389,2013.6104,-83.660355,2.8217075,2032.912,-91.26694,9.863963,2016.0657,-73.25738,-165.75565,2000.2272,-38.47347,312.21588,2113.8052,-106.05601,327.90305,2084.4314,-65.8161,-256.02725,1974.2899,-29.123762,652.2519,2181.685,-137.89885,667.3466,2157.7146,-65.01473,-284.2665,1967.9658,-27.417917,751.7973,2193.2212,-146.08751,765.9948,2159.1619,-42.55445,-414.57208,1942.9707,-49.1057,-357.59128,1962.7122,-54.90962,-350.16086,1942.2883,-52.458706,-467.78345,1945.6604,-59.727333,-382.46564,1987.8928,-64.24734,-364.1036,1927.5072,-91.55963,-254.52551,2054.2673,-94.37381,-214.7459,1947.3773,-101.45423,-130.16368,2069.351,-87.38053,-84.000435,1958.926,-93.06106,-92.89634,2078.3066,-70.417564,-50.88396,1965.663
7,-85.7727,-72.13278,2002.0256,-83.23854,3.6950982,2021.5902,-90.92763,11.157672,2003.4811,-71.53617,-164.60576,1988.6731,-39.71663,312.2133,2102.168,-106.25329,326.43713,2071.377,-63.01788,-254.76578,1963.1005,-30.816788,649.9848,2170.1855,-139.51855,663.77875,2145.128,-62.04896,-283.04294,1956.9443,-28.944635,749.24725,2181.7527,-148.1995,762.0507,2145.6902,-38.41086,-412.87546,1932.1868,-45.47479,-356.28525,1952.832,-51.60313,-348.4113,1930.4305,-48.247753,-466.41855,1935.0481,-56.535694,-381.79007,1978.774,-61.59724,-362.1207,1914.5156,-90.91518,-254.08748,2046.0453,-93.20556,-213.18875,1933.7786,-102.05547,-128.77338,2061.214,-86.336136,-82.255806,1944.4144,-93.68418,-90.79217,2070.0193,-68.56515,-49.352203,1951.4144
8,-88.8178,-70.143936,2012.6145,-85.24581,5.9007964,2033.6924,-93.73909,13.826528,2014.5629,-75.430626,-162.93633,1999.204,-41.420116,317.2601,2116.341,-110.32963,332.42773,2081.4377,-67.524956,-252.11372,1973.6068,-35.89321,660.1911,2183.2825,-144.92424,674.1794,2155.9246,-66.26137,-280.03027,1967.0131,-32.858242,759.8044,2195.1724,-151.41983,772.75385,2157.0144,-43.258373,-409.26657,1941.8625,-49.10243,-353.4374,1963.1774,-56.515907,-344.90793,1940.0494,-51.164898,-462.72873,1943.4506,-58.288074,-378.57474,1989.7363,-68.2134,-357.73618,1922.9944,-89.789345,-253.66763,2057.9326,-100.74791,-211.11424,1941.2754,-98.867935,-130.05382,2072.5298,-95.44659,-81.91628,1948.9261,-89.732895,-93.03593,2081.3796,-78.17607,-49.450665,1954.9641
9,-94.21941,-69.3393,2023.3555,-91.09562,7.3616977,2044.6357,-99.93282,15.089442,2025.1874,-80.69551,-162.96971,2009.8105,-46.507805,320.0981,2128.4136,-118.94718,336.31778,2092.4846,-72.473885,-252.81236,1983.7178,-41.185543,663.7729,2195.7466,-152.62135,677.7268,2168.2312,-71.20322,-281.11328,1977.1508,-35.32008,763.67053,2207.384,-156.69707,776.44464,2169.4878,-48.217506,-411.71198,1951.599,-54.43614,-354.94257,1973.4178,-61.09507,-346.68408,1949.4303,-55.254627,-466.47607,1953.1517,-64.53493,-380.71744,2000.9735,-71.92847,-360.22543,1931.2334,-97.32131,-252.15593,2069.1672,-105.72361,-210.5603,1948.8854,-107.051445,-127.901505,2082.6128,-101.24544,-80.89296,1956.4707,-97.93806,-90.2054,2090.5657,-83.38902,-48.41778,1962.1158
