frame_index,left_shoulder_to_wrist_distance,right_shoulder_to_wrist_distance,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hand_speed,right_hand_speed,left_tremor_amp_proxy,right_tremor_amp_proxy,upper_limb_lr_asymmetry
1,266.1464,270.75842,7878.0684,7940.277,7660.9395,7677.2583,7753.7573,7806.234,237.54272,885.6915,0.0021278705
2,266.1515,270.1766,4020.0527,4240.9336,3966.8691,4239.5327,3983.5256,4190.315,456.2268,166.44165,0.06645143
3,264.52066,269.19516,4058.041,4010.5486,4060.5356,3987.3962,4026.9272,3931.0525,292.8192,342.20032,0.01817595
4,269.09894,272.20767,4984.044,5471.761,5051.481,5460.396,5105.526,5427.253,1121.3713,537.32605,0.07780058
5,265.50198,271.0464,4962.921,5189.1855,5080.62,5157.8403,5108.747,5223.5796,724.4441,1080.2112,0.01508434
6,266.06445,270.90494,959.04456,1552.3444,1110.8335,1644.461,1164.2899,1626.528,233.60199,99.88037,0.38734704
7,264.9496,269.85864,1708.0135,1968.857,1624.37,1901.4496,1601.212,1902.329,281.0846,132.12524,0.15717174
8,265.25323,269.91495,725.93164,454.0154,959.46814,581.2484,1157.9612,645.4971,657.03827,236.55457,0.490966
9,268.01282,271.97617,1647.7672,1732.5817,1563.5576,1618.7069,1608.954,1607.1847,236.68335,343.8098,0.034660406
10,268.4656,271.3343,2827.3733,3017.014,2805.3064,3015.8044,2800.7952,3003.5864,119.2215,105.8667,0.072322294
11,267.71506,271.02057,1430.8102,1240.2222,1441.3514,1184.2332,1474.7063,1202.162,20.583496,222.17834,0.19585603
12,264.5215,269.18472,12286.637,12822.232,12128.594,12621.998,12063.239,12554.098,153.8855,876.6852,0.039870102
13,266.39127,270.16403,6892.052,7688.1772,6713.381,7608.7627,6724.249,7509.9277,278.26202,585.63416,0.12503462
14,267.7711,270.85007,3332.882,3515.1672,3272.905,3463.754,3284.1968,3439.2249,326.10657,12.88269,0.0566598
15,266.0901,269.99908,2143.4421,1879.198,2279.1753,1835.2483,2378.3933,1847.3412,820.3134,51.121216,0.2157906
