frame_index,left_shoulder_to_wrist_distance,right_shoulder_to_wrist_distance,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hand_speed,right_hand_speed,left_tremor_amp_proxy,right_tremor_amp_proxy,upper_limb_lr_asymmetry
1,249.91135,256.0097,4482.0176,12347.68,3772.8037,12759.528,3817.7805,13068.485,114.262085,3641.7114,1.0871696
2,252.07759,255.10406,777.5873,1733.2323,569.6909,1937.3622,870.7699,1966.1837,95.461426,181.64795,1.0910589
3,253.33427,251.69829,1409.8809,2304.2773,1714.9874,2774.475,2125.1848,3234.1545,818.0713,662.66205,0.47198865
4,248.82191,250.36133,1333.266,2039.0054,1213.9321,2092.916,1362.7733,2183.3264,472.10815,586.6745,0.5316143
5,239.23679,240.75621,1758.1805,3040.2822,1404.1974,2556.9324,1232.7455,2272.2178,453.60474,742.55615,0.5820233
6,248.6191,246.41257,1798.1311,4303.309,1227.0795,3628.485,1259.5979,3541.6375,156.09375,605.51636,0.98913556
7,238.73584,241.22394,2025.0869,3920.6838,2069.287,3808.7676,2302.0547,3974.8389,575.40283,616.9092,0.5918558
8,242.80026,244.99954,1102.8082,1050.2583,1268.452,918.8981,1216.6537,872.7731,493.26904,483.89984,0.31961408
9,249.68587,249.9154,1844.0996,2962.3132,1864.4917,3012.6091,1986.1879,3081.0215,216.24756,678.80035,0.47081965
10,251.61623,251.97194,1334.4318,1496.9708,1304.7565,1397.6504,1316.2698,1395.3834,293.54858,197.09961,0.06874903
11,248.4118,249.13951,389.33493,1374.9761,222.10689,1378.9968,249.16167,1340.0605,198.78845,804.7464,1.4451154
12,251.58565,253.20125,5530.7812,6597.3384,6171.104,7180.8784,6668.9014,7650.97,1156.8671,640.81635,0.15125461
13,253.51389,258.188,6373.5596,5910.572,6625.994,6063.018,6974.202,6335.413,1380.1837,1194.5066,0.088734426
14,253.27007,255.09596,828.2241,1176.4702,820.30365,1295.0985,1001.8916,1489.753,590.40344,135.01923,0.44889325
15,251.34894,253.53555,652.5851,413.0954,802.1731,407.7077,837.675,428.35416,824.881,294.61914,0.65207314
16,247.62057,251.65468,1686.7896,2242.8728,1851.8115,2399.643,1925.6202,2477.6614,81.19751,526.25244,0.25771487
17,251.78333,255.25931,2040.6316,1363.6017,1847.497,1174.93,1803.0922,1090.3046,351.9281,585.46783,0.44505087
18,257.09064,258.90872,1167.7924,1330.4635,1393.2882,1613.337,1539.1719,1893.6738,1111.3306,58.59558,0.14637595
19,257.15427,261.35666,1082.2803,233.77391,1072.8752,430.54694,1034.7427,461.4757,681.01196,359.09943,0.8544883
20,256.31195,260.78452,1370.7588,1473.8066,1199.804,1258.4148,1047.067,1098.04,617.4939,491.12793,0.04768562
21,248.67047,254.55505,1009.491,1907.5109,1476.8102,2109.8032,1765.1738,2326.8938,12.72644,1.000061,0.35297534
22,253.15784,257.07513,3014.944,3773.5154,3409.2651,4034.9944,3629.5972,4276.96,1152.4567,546.0367,0.16811053
23,254.96846,259.0618,841.5519,639.5321,1036.1493,839.93756,1144.8306,946.6871,486.53198,374.03412,0.20917127
24,245.9226,252.47842,9193.708,7748.397,9569.104,7882.4556,9686.501,8275.53,3803.289,1296.1371,0.19329482
25,251.29382,256.0919,7254.502,7270.034,7698.468,7481.955,8077.2734,7931.6504,1856.9684,211.83655,0.028525252
26,253.8671,256.92023,1205.9545,897.3661,1527.9888,1299.7759,1616.142,1394.3793,1104.69,885.13947,0.1614087
27,249.68767,255.32802,858.15955,1145.0309,970.30676,1179.5441,1134.5948,1274.4509,148.42163,321.22894,0.19465286
28,249.97504,256.38724,1500.9796,1134.6508,1518.1714,1196.162,1538.4325,1219.5995,461.2799,313.57574,0.2372659
29,247.49309,252.33492,294.21164,198.21512,177.20134,309.01862,132.13792,241.55624,106.1853,121.34827,0.5422125
30,243.35957,249.5497,2018.0587,2998.79,2148.1008,3029.672,2239.3848,3142.9626,60.828857,251.99768,0.34052143
31,247.7765,252.17744,1368.7472,1918.0514,1574.2589,2158.457,1723.0262,2364.609,670.6531,466.24207,0.31301504
32,244.21506,250.17125,2280.3862,1728.781,2555.6333,2114.5454,2688.5906,2296.0193,1144.0613,834.1394,0.18889551
33,244.42978,248.98813,2494.2173,1674.745,2458.5022,1776.742,2350.3398,1626.9044,851.52954,1066.7319,0.32194614
34,247.65538,251.94035,839.9603,2003.315,996.04504,2172.8564,1107.6505,2312.4219,118.45642,679.9368,0.7427252
35,247.06871,251.51184,710.15607,135.79257,668.9952,102.60375,689.81476,113.43015,57.351685,31.762085,1.4680979
36,254.30331,258.26285,4035.6987,4986.045,3979.2485,5477.5986,4336.9385,5931.9824,624.08325,57.98767,0.3168815
37,260.2562,261.78827,4598.6606,5232.235,4614.036,5450.482,4845.708,5701.7456,819.46045,224.72992,0.16621678
38,256.08716,259.1967,882.08435,495.80756,1046.0946,546.7555,1219.3634,596.4935,942.0593,609.71893,0.62697566
39,255.5849,256.3379,1568.948,1066.6119,1581.671,949.8521,1615.0142,840.36383,543.6084,143.6322,0.49916106
40,253.9843,255.57312,559.6157,1468.3247,379.87674,1484.4019,266.02728,1463.5918,177.34863,670.2661,1.1849357
41,248.66396,250.36794,1806.5448,1405.3541,1551.9774,1330.6276,1464.9501,1323.2982,732.7112,719.5386,0.15357627
42,249.66328,251.83548,2526.5862,3052.4048,2640.9807,3239.2612,2744.3108,3399.3901,697.72644,537.99164,0.2034884
43,250.25197,252.19586,410.2745,1094.986,543.522,1152.2446,607.04913,1210.4631,100.166626,202.51709,0.7179321
44,249.7417,252.2053,2775.037,2491.3982,2690.0784,2470.8506,2680.2275,2445.9028,482.56287,377.6709,0.08495672
45,247.93387,249.3805,519.71265,829.6644,607.8409,925.9236,617.5636,1018.4748,306.08276,317.76245,0.41477388
46,248.06407,248.36066,902.49615,1235.5076,909.30084,1279.1443,923.619,1317.718,222.84912,492.02576,0.33799654
47,248.33418,247.9476,833.98096,1243.8085,928.10455,1387.8717,1020.8146,1524.8732,4.9346924,200.57434,0.3970396
48,254.06532,252.26122,5499.8286,3364.2166,5753.232,3446.1936,6025.0566,3627.053,834.5343,842.2064,0.5015614
49,256.09354,255.77025,6612.8096,4790.8613,6705.7993,4794.937,6887.935,4852.119,174.6112,282.24548,0.3323026
50,254.03131,255.20528,1472.1826,1793.655,1459.7399,1850.7037,1517.4849,1889.4515,294.05823,40.87372,0.23620029
51,250.51413,251.5482,1903.4297,1600.0924,2038.9894,1752.2723,2137.1245,1869.5604,664.87366,406.76666,0.15125151
52,248.2351,249.41248,1709.1749,1604.0438,1687.228,1713.83,1696.1788,1786.1414,359.96216,84.76166,0.015643325
53,249.99399,250.407,839.5819,1163.5374,638.5724,1257.3843,660.22015,1413.091,53.43445,696.3681,0.6527701
54,250.42435,251.50748,1613.8416,1219.7748,1546.0942,1088.6299,1519.87,1026.6722,111.674805,742.83417,0.34725788
55,250.56105,251.98055,1320.0734,1645.1508,1386.94,1718.9962,1454.248,1793.0142,86.00891,31.463623,0.21382043
56,249.81354,251.59268,2912.8188,2517.3303,2975.1152,2587.8691,3015.015,2647.7427,198.65417,118.39264,0.13922243
57,246.49751,249.09415,639.56647,644.2817,702.0157,729.1113,683.63324,711.1436,319.75647,111.58356,0.03786616
58,246.93098,250.72145,348.1059,886.3917,299.86102,874.82874,164.94234,943.3763,112.15332,28.122253,0.97892696
59,250.2407,252.15053,1010.2838,428.77835,1016.1538,576.0159,1113.8796,689.46906,80.529175,188.49396,0.5528781
60,246.91808,249.29332,4790.1025,7710.8955,5053.2236,7717.808,5348.89,7976.1665,349.69727,98.002014,0.4172857
61,248.98187,250.71638,4259.2686,5278.6475,4436.382,5506.6733,4771.7427,5908.297,644.3762,416.42487,0.21528424
62,250.13446,250.28069,716.0544,781.19934,412.32245,594.44366,232.79765,528.6021,632.90283,638.8434,0.3617945
63,249.20999,249.54385,499.9872,184.96294,504.3703,172.10338,439.73694,76.31581,68.9563,13.496704,0.9823498
64,247.31554,249.32445,647.85925,1276.7238,621.9044,1173.8141,671.51544,1189.0377,306.01807,21.279602,0.6146951
65,248.13445,248.26764,942.1061,1425.0977,827.55035,1470.1417,844.77057,1522.0912,83.69629,366.54327,0.55933636
66,251.70721,250.92863,1096.7021,1327.1509,1237.0966,1401.0228,1353.5692,1464.0936,420.75684,12.370605,0.124275096
67,252.79729,251.00154,1588.2771,1306.4338,1572.0378,1335.9768,1578.1509,1354.4691,50.83374,72.56317,0.16235203
68,246.8309,245.79361,4728.1,5798.275,5032.7134,6137.4824,5303.719,6414.006,266.3098,43.587646,0.19780658
69,248.73265,248.54951,2255.277,2644.3823,2274.952,2624.2773,2339.9243,2678.5425,606.86035,267.15057,0.14260423
