frame_index,left_shoulder_to_wrist_distance,right_shoulder_to_wrist_distance,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hand_speed,right_hand_speed,left_tremor_amp_proxy,right_tremor_amp_proxy,upper_limb_lr_asymmetry
1,269.98798,265.03702,1186.4435,892.7801,1689.4943,889.40674,1572.8066,807.3884,1411.7429,180.22678,0.6204872
2,267.0882,261.53784,1301.529,742.692,905.9403,694.55505,816.16925,678.50494,751.00555,377.45166,0.26414979
3,267.1828,261.9459,488.78592,245.17139,511.76212,283.05237,503.66003,260.87866,151.7981,41.021652,0.5755048
4,266.1444,260.10983,475.82947,566.1092,495.04004,582.55066,533.19476,613.246,301.47064,91.50406,0.16241904
5,267.46722,260.8269,1416.0808,1400.747,1334.3679,1310.9901,1289.0337,1244.3671,27.753906,216.05888,0.01767459
6,270.19702,264.02103,1225.4982,1416.8859,1147.4324,1368.6599,1086.007,1318.6422,211.95068,17.653809,0.1758501
7,270.41577,263.8093,98.212326,114.13952,117.66136,173.2257,116.86485,176.40535,133.65662,344.8918,0.3820337
8,269.26877,262.72537,1360.9088,1209.9048,1410.4469,1286.0468,1410.6155,1284.9385,411.66473,334.95728,0.09226808
9,268.99777,263.18958,1229.101,1162.374,1258.1959,1265.0079,1268.7937,1245.7855,124.25049,139.5044,0.005399494
10,271.52676,264.24243,209.07907,939.3525,157.2153,719.10736,150.21399,699.43024,267.0755,73.703,1.2823863
11,272.947,265.86127,1218.4958,1407.1039,1175.0867,1360.7742,1135.0692,1307.1656,173.6087,115.70679,0.14644928
12,267.04218,262.30722,3126.465,2665.0,3466.6348,2779.1082,3519.931,2793.8933,1368.1079,908.515,0.22015846
13,268.74374,263.02673,1292.3845,1241.1611,1165.2126,1124.8896,1139.6833,1172.904,689.5163,1013.72406,0.03521502
14,269.3433,263.11484,142.75615,210.66173,304.2604,328.8866,362.64944,336.29865,363.8275,125.192566,0.077789806
15,268.3994,262.7624,994.3763,1085.465,941.41077,1020.9436,914.12823,995.3278,150.71228,683.5263,0.081058584
16,267.50037,261.77786,366.59705,375.94177,276.54218,264.77997,260.32553,223.62366,171.20544,86.91406,0.04345733
17,267.69608,261.5728,1112.5239,1152.0702,1001.82947,1067.9255,966.6314,1035.126,121.62781,420.83862,0.0638685
18,269.24075,263.28024,505.15854,506.84964,551.35986,687.9844,541.6326,703.1467,56.34796,225.71167,0.22047871
19,269.28528,263.13235,314.25687,353.60873,285.46082,342.5466,289.69324,328.05634,143.63892,330.40222,0.18179971
20,272.43454,265.44595,270.57202,611.23395,199.57191,585.7997,240.31844,548.28253,209.34753,855.1929,0.98355424
21,270.53787,263.00186,1957.7825,1923.7427,1704.0157,1777.318,1568.4565,1689.512,605.824,1115.3408,0.042111587
22,269.30487,261.6752,1718.9784,1863.233,1750.9866,1860.4354,1737.6565,1855.9974,40.75287,217.55722,0.06061261
23,271.48868,263.8565,379.2265,389.72824,383.38455,334.38815,363.9942,304.48453,109.3866,98.9138,0.13652344
24,273.52243,266.42294,5666.074,5343.557,5550.915,5097.419,5468.5874,5001.3755,130.41534,149.54216,0.08517691
25,273.18784,265.77408,1820.3418,1870.9789,1727.768,1858.1039,1650.5769,1770.1277,15.305481,638.5541,0.072694145
26,271.0514,264.71432,719.31647,445.75232,569.98834,393.53992,563.36743,370.84613,313.79364,250.89523,0.3662548
27,271.04242,264.66464,2250.6997,2229.768,2178.6733,2209.2822,2163.5117,2202.6724,25.88501,426.8492,0.01395132
28,271.36923,264.6894,214.28172,408.12888,232.87837,440.73636,243.56673,475.388,175.39368,49.485626,0.617142
29,271.38208,264.5375,910.9376,864.3784,945.23096,945.31354,945.04034,975.8584,114.39087,8.062439,8.736168e-05
30,270.15195,263.7886,811.59375,729.3379,754.09924,709.096,753.8417,720.17896,61.489563,104.247894,0.06151364
31,271.06256,264.86993,359.8206,569.5028,444.21475,681.9663,463.49615,722.55927,101.041565,298.83575,0.4222262
32,269.82837,263.67926,867.7905,645.6684,837.597,599.7693,826.5656,624.9935,159.09485,334.82574,0.3309215
33,269.30203,262.9154,1008.2765,1229.6942,1037.3212,1242.8103,1049.0072,1242.8204,145.27557,92.56683,0.18024324
34,271.31207,263.46387,432.76233,395.42572,441.68134,408.9531,416.3208,411.6653,551.6156,568.1015,0.07695019
35,270.00128,262.93726,1312.1631,1535.9705,1330.4469,1564.4209,1352.3365,1586.8529,131.24207,185.1976,0.16164745
36,267.32767,263.2352,1516.8597,1615.8914,1822.1211,1672.0205,1916.5168,1900.807,1175.9393,944.0205,0.08591557
37,266.4571,262.2851,569.2842,569.8747,554.2315,673.7077,623.4332,775.4358,49.242554,73.68713,0.19459628
38,266.20862,261.30817,1914.0149,1831.5132,1715.1777,1673.0416,1632.4653,1610.0305,329.75464,260.07538,0.024872126
39,266.57895,261.60764,1128.2434,942.2625,1145.3527,886.5873,1132.6545,871.5379,272.36206,222.60559,0.25469786
40,267.22437,261.82697,594.97925,669.7969,578.21344,615.2817,591.7163,611.11053,164.05518,162.54822,0.062117115
41,267.36728,262.70987,760.9284,565.3851,750.86725,538.3891,738.4674,534.0972,30.061646,93.55347,0.3296135
42,268.1866,262.36374,738.17365,931.5718,751.5427,963.3561,754.9935,962.32117,251.19202,262.547,0.24702723
43,268.30457,262.61844,200.77942,125.92638,139.75446,157.74646,107.33384,148.16135,86.41113,96.84509,0.12095428
44,268.55646,262.4492,370.47318,478.28918,493.06525,553.6981,546.24176,615.0588,91.14075,94.04236,0.11584828
45,268.48587,262.17343,1301.2578,1363.9106,1324.2018,1367.5026,1331.6139,1360.3632,136.14075,290.21332,0.032173503
46,268.0666,261.59665,1998.921,1630.1715,1959.3511,1604.9385,1955.9961,1616.8978,89.365845,276.8335,0.19886857
47,264.19644,257.74582,2015.3876,1666.7645,2054.4197,1771.2036,2008.8936,1759.68,107.612305,305.27344,0.1480627
48,269.85803,265.1335,1103.7755,1700.1366,821.0288,1224.2167,878.8227,772.6178,409.65942,580.56824,0.39426842
49,270.09058,263.62112,1241.3597,1627.8076,1605.8531,1970.9081,1746.864,2197.5625,387.24792,429.0161,0.20412597
50,271.38928,264.9447,1196.7427,1326.9067,1265.5618,1346.8196,1322.6886,1392.3741,79.34509,124.03244,0.062209763
51,271.0342,263.95822,1737.7334,1712.885,1619.2357,1583.4033,1533.1558,1513.7969,136.2323,75.62134,0.022376793
52,270.58917,263.40408,686.8866,705.976,641.6017,681.93304,605.31714,700.23645,289.3747,17.814484,0.060944922
53,270.36255,262.83945,565.0605,789.0966,516.92633,748.92377,498.98093,702.85974,95.50568,75.41489,0.36654803
54,272.5497,265.7367,930.03906,1172.8857,907.85596,1179.4055,922.78546,1221.58,386.0846,407.08908,0.26019698
55,272.5801,264.72638,408.64087,388.83527,360.24258,386.98026,334.03424,440.65106,359.41956,324.3367,0.07156546
56,272.14316,264.79968,262.471,100.158165,317.22488,154.08308,285.15488,122.88454,152.9541,64.85397,0.6922938
57,271.8649,264.61456,541.2839,452.15088,386.32764,417.9212,323.12863,379.42114,387.07153,437.70996,0.07856665
58,271.67618,263.89188,950.0525,1076.485,910.7321,1036.5862,880.5973,979.67725,12.852173,74.296265,0.12925886
59,271.9467,264.3958,323.1595,292.02673,264.8928,286.27637,225.5369,275.6105,9.042358,6.170349,0.077593505
60,276.86676,268.2134,2097.2673,2093.6484,1516.0547,1743.863,1176.117,1337.7426,1020.3409,993.01666,0.13976325
61,271.87448,264.22974,892.53973,427.7745,791.3076,426.87076,702.4684,388.37964,888.295,545.91846,0.59833086
62,272.9332,264.36578,1274.9197,1310.7378,1403.0038,1421.2245,1425.7355,1431.0333,195.62195,35.592194,0.012903138
63,272.02747,263.60397,2251.671,2175.1738,2250.0415,2162.249,2209.1467,2118.2073,40.643616,21.006775,0.039794516
64,274.24142,265.3248,215.9488,99.922195,291.8661,179.54466,349.90933,237.62521,264.6808,77.547455,0.47653314
65,276.36887,267.78732,476.03146,421.0582,414.71967,333.1349,413.63013,305.46658,250.0058,67.27966,0.21818355
66,274.90625,266.28323,421.65366,226.96628,414.7681,238.43393,386.16513,294.06384,287.22717,94.21059,0.539907
67,276.6077,268.42502,1073.5078,1295.3505,1045.4596,1225.7367,1038.3379,1200.6909,300.0351,276.11853,0.15875079
68,275.16043,266.42776,985.99426,1144.4489,1051.1824,1185.5536,1074.3907,1188.489,26.335144,306.448,0.12014938
69,274.63538,265.95416,1469.2538,1716.7418,1385.8202,1699.2424,1318.384,1627.1743,51.42151,22.488937,0.20318696
70,274.87253,264.22018,1384.457,1194.5249,1420.2798,1275.6421,1417.2344,1270.4318,525.04944,66.81526,0.1073011
71,274.1345,264.4352,784.1082,786.6346,811.71796,801.05347,815.5359,793.9543,57.92389,417.01797,0.013225048
72,273.4842,266.12622,2066.2087,1878.5192,1908.0658,1575.0481,1905.3766,1607.5338,818.64624,747.3388,0.19121839
73,272.36856,264.59384,1218.3328,1593.4866,1139.5172,1445.4167,1141.2754,1328.4856,313.19275,449.5465,0.2366788
74,273.5033,265.2745,670.53613,536.40564,757.9798,539.71893,752.29553,528.16144,725.1541,599.32874,0.3363814
