frame_index,left_shoulder_to_wrist_distance,right_shoulder_to_wrist_distance,left_elbow_speed,right_elbow_speed,left_wrist_speed,right_wrist_speed,left_hand_speed,right_hand_speed,left_tremor_amp_proxy,right_tremor_amp_proxy,upper_limb_lr_asymmetry
1,249.40347,241.93878,3915.1995,626.9574,3409.8828,627.8109,3430.687,458.0579,1854.3768,7.39563,1.3780499
2,248.80931,244.50201,8596.911,7733.9263,8509.054,7722.303,8532.252,7846.8726,277.62268,121.07361,0.096942045
3,252.98233,248.75244,5170.3228,5410.93,5336.9854,5448.536,5398.9795,5464.211,127.42554,128.60718,0.020685283
4,256.0731,252.2756,2921.1992,2777.373,2969.3445,2736.0464,3006.6052,2733.8086,232.76917,377.61597,0.08178164
5,258.14288,255.70015,3223.1934,2773.703,3305.2622,2848.5269,3294.2163,2900.161,335.0415,85.97107,0.14844036
6,257.90384,255.19388,932.4717,999.5748,959.60645,1021.6502,961.13983,1003.8055,308.8623,113.43964,0.06263072
7,258.32742,255.58415,655.5302,874.5034,658.0535,843.5706,680.02234,888.8322,168.13599,207.32147,0.24708858
8,256.19675,252.6724,466.9685,387.0388,398.18893,394.70114,367.7686,376.85553,98.20557,165.4657,0.008797671
9,262.3292,259.76672,7404.3193,7175.277,7109.731,6928.1694,7048.847,6901.995,28.879395,296.56555,0.025867334
10,263.2426,260.36765,181.9764,295.6947,136.82574,273.48135,104.85356,278.18777,240.49927,111.66931,0.6661138
11,263.23944,260.75623,793.04926,1003.1711,771.2973,978.9122,785.1695,997.0913,28.956299,70.69855,0.23724574
12,262.08942,254.73778,10512.492,10796.362,10497.843,10682.719,10566.936,10753.145,797.088,501.4328,0.017457135
13,265.97992,258.81345,1305.8367,1455.84,1336.7186,1518.1036,1301.5245,1506.0603,674.59717,309.14398,0.12707272
14,260.54684,253.57332,5953.778,6239.1475,5941.096,6185.024,5947.4814,6210.4854,177.03552,400.22858,0.040231787
15,269.27432,261.6885,4215.128,4132.552,3982.9421,3894.6392,3918.0059,3807.4587,200.5719,408.55438,0.022418806
16,272.2752,265.58984,3191.8955,3416.2036,3170.8157,3458.0398,3153.2214,3444.4128,307.97913,130.46906,0.08665874
17,276.37723,268.552,949.59515,1129.0393,816.95905,1066.6691,795.69037,1030.0912,80.702515,27.136536,0.26513728
18,276.9926,271.14594,1673.1984,1779.2639,1770.0135,1946.7776,1793.4552,1979.3246,403.2129,172.33856,0.09511648
19,280.28503,274.74625,1375.1466,1630.2749,1304.8792,1608.898,1321.711,1593.1423,21.6333,50.393066,0.20867677
20,279.70468,274.3034,800.71606,643.65643,810.06354,580.6701,809.91345,554.92017,105.177,154.74884,0.32988837
21,278.0091,273.26898,674.5969,102.472466,593.50433,108.03775,615.85297,126.61634,11.655273,153.19305,1.3839984
